organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Population (monthly) March 2024,Population (monthly) February 2025,Population (monthly) September 2022,Population (monthly) March 2021,Population (monthly) September 2019,Population (monthly) February 2022,Population (monthly) November 2020,Population (monthly) April 2023,Population (monthly) March 2018,Population (monthly) December 2024,Population (monthly) July 2020,Population (monthly) October 2023,Population (monthly) February 2019,Population (monthly) March 2020,Population (monthly) November 2022,Population (monthly) September 2021,Population (monthly) October 2025,Population (monthly) May 2021,Population (monthly) September 2018,Population (monthly) October 2022,Population (monthly) November 2019,Population (monthly) May 2018,Population (monthly) December 2023,Population (monthly) October 2019,Population (monthly) January 2020,Population (monthly) February 2020,Population (monthly) March 2019,Population (monthly) July 2021,Population (monthly) August 2025,Population (monthly) July 2018,Population (monthly) November 2023,Population (monthly) August 2022,Population (monthly) April 2020,Population (monthly) April 2025,Population (monthly) May 2024,Population (monthly) October 2020,Population (monthly) December 2021,Population (monthly) December 2018,Population (monthly) February 2021,Population (monthly) March 2025,Population (monthly) June 2023,Population (monthly) August 2021,Population (monthly) January 2023,Population (monthly) February 2018,Population (monthly) August 2018,Population (monthly) March 2022,Population (monthly) May 2020,Population (monthly) August 2020,Population (monthly) October 2021,Population (monthly) October 2018,Population (monthly) June 2024,Population (monthly) February 2024,Population (monthly) June 2021,Population (monthly) August 2019,Population (monthly) April 2022,Population (monthly) June 2020,Population (monthly) July 2024,Population (monthly) September 2020,Population (monthly) April 2019,Population (monthly) May 2023,Population (monthly) October 2024,Population (monthly) September 2025,Population (monthly) December 2025,Population (monthly) June 2022,Population (monthly) April 2021,Population (monthly) May 2025,Population (monthly) November 2018,Population (monthly) April 2018,Population (monthly) December 2022,Population (monthly) January 2022,Population (monthly) June 2019,Population (monthly) September 2024,Population (monthly) May 2022,Population (monthly) July 2023,Population (monthly) January 2019,Population (monthly) December 2019,Population (monthly) November 2025,Population (monthly) January 2024,Population (monthly) May 2019,Population (monthly) July 2025,Population (monthly) August 2024,Population (monthly) January 2021,Population (monthly) March 2023,Population (monthly) June 2018,Population (monthly) July 2022,Population (monthly) January 2018,Population (monthly) November 2024,Population (monthly) September 2023,Population (monthly) July 2019,Population (monthly) April 2024,Population (monthly) November 2021,Population (monthly) December 2020,Population (monthly) February 2023,Population (monthly) June 2025,Population (monthly) August 2023,Population (monthly) January 2025
wgiDXt162Wl,30210 Tripurasundari Rural Municipality,30210,à¤¤à¥�à¤°à¤¿à¤ªà¥�à¤°à¤¾à¤¸à¥�à¤¨à¥�à¤¦à¤°à¥€ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,11577,11577,12230,12201,13436,12230,13454,11408,13414,11577,13454,11408,13436,13454,12230,12201,11577,12201,13414,12230,13436,13414,11408,13436,13454,13454,13436,12201,11577,13414,11408,12230,13454,11577,11577,13454,12201,13414,12201,11577,11408,12201,11408,13414,13414,12230,13454,13454,12201,13414,11577,11577,12201,13436,12230,13454,11577,13454,13436,11408,11577,11577,11577,12230,12201,11577,13414,13414,12230,12230,13436,11577,12230,11408,13436,13436,11577,11577,13436,11577,11577,12201,11408,13414,12230,13414,11577,11408,13436,11577,12201,13454,11408,11577,11408,11577
P1b64auzuzc,30211 Lisankhu Pakhar Rural Municipality,30211,à¤²à¤¿à¤¸à¤‚à¤–à¥� à¤ªà¤¾à¤–à¤° à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,10814,10814,11583,11579,15269,11583,15282,11278,15257,10814,15282,11278,15269,15282,11583,11579,10814,11579,15257,11583,15269,15257,11278,15269,15282,15282,15269,11579,10814,15257,11278,11583,15282,10814,10814,15282,11579,15257,11579,10814,11278,11579,11278,15257,15257,11583,15282,15282,11579,15257,10814,10814,11579,15269,11583,15282,10814,15282,15269,11278,10814,10814,10814,11583,11579,10814,15257,15257,11583,11583,15269,10814,11583,11278,15269,15269,10814,10814,15269,10814,10814,11579,11278,15257,11583,15257,10814,11278,15269,10814,11579,15282,11278,10814,11278,10814
lIgk0wjLBGn,30212 Sunkoshi Rural Municipality,30212,à¤¸à¥�à¤¨à¤•à¥‹à¤¶à¥€ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,14481,14481,15348,15333,17572,15348,17604,14375,17539,14481,17604,14375,17572,17604,15348,15333,14481,15333,17539,15348,17572,17539,14375,17572,17604,17604,17572,15333,14481,17539,14375,15348,17604,14481,14481,17604,15333,17539,15333,14481,14375,15333,14375,17539,17539,15348,17604,17604,15333,17539,14481,14481,15333,17572,15348,17604,14481,17604,17572,14375,14481,14481,14481,15348,15333,14481,17539,17539,15348,15348,17572,14481,15348,14375,17572,17572,14481,14481,17572,14481,14481,15333,14375,17539,15348,17539,14481,14375,17572,14481,15333,17604,14375,14481,14375,14481
uYVGFFpDYBz,30301 Gosaikunda Rural Municipality,30301,à¤—à¥‹à¤¸à¤¾à¤ˆà¤•à¥�à¤£à¥�à¤¡ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,7904,7904,8323,8081,8618,8323,8674,8335,8556,7904,8674,8335,8618,8674,8323,8081,7904,8081,8556,8323,8618,8556,8335,8618,8674,8674,8618,8081,7904,8556,8335,8323,8674,7904,7904,8674,8081,8556,8081,7904,8335,8081,8335,8556,8556,8323,8674,8674,8081,8556,7904,7904,8081,8618,8323,8674,7904,8674,8618,8335,7904,7904,7904,8323,8081,7904,8556,8556,8323,8323,8618,7904,8323,8335,8618,8618,7904,7904,8618,7904,7904,8081,8335,8556,8323,8556,7904,8335,8618,7904,8081,8674,8335,7904,8335,7904
QaGifEG44bz,30302 Parbatikunda Rural Municipality,30302,à¤ªà¤¾à¤°à¥�à¤µà¤¤à¥€à¤•à¥�à¤£à¥�à¤¡ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,6987,6987,6926,6709,5738,6926,5758,6696,5718,6987,5758,6696,5738,5758,6926,6709,6987,6709,5718,6926,5738,5718,6696,5738,5758,5758,5738,6709,6987,5718,6696,6926,5758,6987,6987,5758,6709,5718,6709,6987,6696,6709,6696,5718,5718,6926,5758,5758,6709,5718,6987,6987,6709,5738,6926,5758,6987,5758,5738,6696,6987,6987,6987,6926,6709,6987,5718,5718,6926,6926,5738,6987,6926,6696,5738,5738,6987,6987,5738,6987,6987,6709,6696,5718,6926,5718,6987,6696,5738,6987,6709,5758,6696,6987,6696,6987
itvnxQdZ1St,30303 Uttargaya Rural Municipality,30303,à¤‰à¤¤à¥�à¤¤à¤°à¤—à¤¯à¤¾ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,8555,8555,8872,8611,8598,8872,8621,8620,8577,8555,8621,8620,8598,8621,8872,8611,8555,8611,8577,8872,8598,8577,8620,8598,8621,8621,8598,8611,8555,8577,8620,8872,8621,8555,8555,8621,8611,8577,8611,8555,8620,8611,8620,8577,8577,8872,8621,8621,8611,8577,8555,8555,8611,8598,8872,8621,8555,8621,8598,8620,8555,8555,8555,8872,8611,8555,8577,8577,8872,8872,8598,8555,8872,8620,8598,8598,8555,8555,8598,8555,8555,8611,8620,8577,8872,8577,8555,8620,8598,8555,8611,8621,8620,8555,8620,8555
OZZKuAVf0aO,30304 Kalika Rural Municipality,30304,à¤•à¤¾à¤²à¤¿à¤•à¤¾ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,10220,10220,10540,10223,9911,10540,9942,10147,9880,10220,9942,10147,9911,9942,10540,10223,10220,10223,9880,10540,9911,9880,10147,9911,9942,9942,9911,10223,10220,9880,10147,10540,9942,10220,10220,9942,10223,9880,10223,10220,10147,10223,10147,9880,9880,10540,9942,9942,10223,9880,10220,10220,10223,9911,10540,9942,10220,9942,9911,10147,10220,10220,10220,10540,10223,10220,9880,9880,10540,10540,9911,10220,10540,10147,9911,9911,10220,10220,9911,10220,10220,10223,10147,9880,10540,9880,10220,10147,9911,10220,10223,9942,10147,10220,10147,10220
KTRG2BvU2aN,30305 Naukunda Rural Municipality,30305,à¤¨à¥Œà¤•à¥�à¤£à¥�à¤¡ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,12372,12372,12530,12156,12112,12530,12137,12289,12088,12372,12137,12289,12112,12137,12530,12156,12372,12156,12088,12530,12112,12088,12289,12112,12137,12137,12112,12156,12372,12088,12289,12530,12137,12372,12372,12137,12156,12088,12156,12372,12289,12156,12289,12088,12088,12530,12137,12137,12156,12088,12372,12372,12156,12112,12530,12137,12372,12137,12112,12289,12372,12372,12372,12530,12156,12372,12088,12088,12530,12530,12112,12372,12530,12289,12112,12112,12372,12372,12112,12372,12372,12156,12289,12088,12530,12088,12372,12289,12112,12372,12156,12137,12289,12372,12289,12372
T8quwYZYfsu,30401 Rubi Valley Rural Municipality,30401,à¤°à¥�à¤¬à¥€ à¤­à¥�à¤¯à¤¾à¤²à¥€ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,11048,11048,10524,10480,9955,10524,10003,10347,9907,11048,10003,10347,9955,10003,10524,10480,11048,10480,9907,10524,9955,9907,10347,9955,10003,10003,9955,10480,11048,9907,10347,10524,10003,11048,11048,10003,10480,9907,10480,11048,10347,10480,10347,9907,9907,10524,10003,10003,10480,9907,11048,11048,10480,9955,10524,10003,11048,10003,9955,10347,11048,11048,11048,10524,10480,11048,9907,9907,10524,10524,9955,11048,10524,10347,9955,9955,11048,11048,9955,11048,11048,10480,10347,9907,10524,9907,11048,10347,9955,11048,10480,10003,10347,11048,10347,11048
sInu47Mk0wb,30402 Khaniyabas Rural Municipality,30402,à¤–à¤¨à¤¿à¤¯à¤¾à¤¬à¤¾à¤¸ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,9574,9574,10740,10689,13101,10740,13152,9910,13046,9574,13152,9910,13101,13152,10740,10689,9574,10689,13046,10740,13101,13046,9910,13101,13152,13152,13101,10689,9574,13046,9910,10740,13152,9574,9574,13152,10689,13046,10689,9574,9910,10689,9910,13046,13046,10740,13152,13152,10689,13046,9574,9574,10689,13101,10740,13152,9574,13152,13101,9910,9574,9574,9574,10740,10689,9574,13046,13046,10740,10740,13101,9574,10740,9910,13101,13101,9574,9574,13101,9574,9574,10689,9910,13046,10740,13046,9574,9910,13101,9574,10689,13152,9910,9574,9910,9574
DDM7poCx1mp,30403 Ganga Jamuna Rural Municipality,30403,à¤—à¤‚à¤™à¥�à¤—à¤¾ à¤œà¤®à¥�à¤¨à¤¾ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,18408,18408,19477,19461,22523,19477,22619,18566,22429,18408,22619,18566,22523,22619,19477,19461,18408,19461,22429,19477,22523,22429,18566,22523,22619,22619,22523,19461,18408,22429,18566,19477,22619,18408,18408,22619,19461,22429,19461,18408,18566,19461,18566,22429,22429,19477,22619,22619,19461,22429,18408,18408,19461,22523,19477,22619,18408,22619,22523,18566,18408,18408,18408,19477,19461,18408,22429,22429,19477,19477,22523,18408,19477,18566,22523,22523,18408,18408,22523,18408,18408,19461,18566,22429,19477,22429,18408,18566,22523,18408,19461,22619,18566,18408,18566,18408
hv4fG8ZjTkx,30404 Tripurasundari Rural Municipality,30404,à¤¤à¥�à¤°à¤¿à¤ªà¥�à¤°à¤¾à¤¸à¥�à¤¨à¥�à¤¦à¤°à¥€ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,21433,21433,21196,21188,23880,21196,23988,21328,23772,21433,23988,21328,23880,23988,21196,21188,21433,21188,23772,21196,23880,23772,21328,23880,23988,23988,23880,21188,21433,23772,21328,21196,23988,21433,21433,23988,21188,23772,21188,21433,21328,21188,21328,23772,23772,21196,23988,23988,21188,23772,21433,21433,21188,23880,21196,23988,21433,23988,23880,21328,21433,21433,21433,21196,21188,21433,23772,23772,21196,21196,23880,21433,21196,21328,23880,23880,21433,21433,23880,21433,21433,21188,21328,23772,21196,23772,21433,21328,23880,21433,21188,23988,21328,21433,21328,21433
MaArAXGzq0b,30405 Netrawati Rural Municipality,30405,à¤¨à¥‡à¤¤à¥�à¤°à¤¾à¤µà¤¤à¥€ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,10789,10789,11263,11269,13220,11263,13274,10876,13159,10789,13274,10876,13220,13274,11263,11269,10789,11269,13159,11263,13220,13159,10876,13220,13274,13274,13220,11269,10789,13159,10876,11263,13274,10789,10789,13274,11269,13159,11269,10789,10876,11269,10876,13159,13159,11263,13274,13274,11269,13159,10789,10789,11269,13220,11263,13274,10789,13274,13220,10876,10789,10789,10789,11263,11269,10789,13159,13159,11263,11263,13220,10789,11263,10876,13220,13220,10789,10789,13220,10789,10789,11269,10876,13159,11263,13159,10789,10876,13220,10789,11269,13274,10876,10789,10876,10789
hHrDGEWVf6J,30406 Nilkhantha Municipality,30406,à¤¨à¥€à¤²à¤•à¤£à¥�à¤  à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,58326,58326,58241,58162,61762,58241,62064,58628,61462,58326,62064,58628,61762,62064,58241,58162,58326,58162,61462,58241,61762,61462,58628,61762,62064,62064,61762,58162,58326,61462,58628,58241,62064,58326,58326,62064,58162,61462,58162,58326,58628,58162,58628,61462,61462,58241,62064,62064,58162,61462,58326,58326,58162,61762,58241,62064,58326,62064,61762,58628,58326,58326,58326,58241,58162,58326,61462,61462,58241,58241,61762,58326,58241,58628,61762,61762,58326,58326,61762,58326,58326,58162,58628,61462,58241,61462,58326,58628,61762,58326,58162,62064,58628,58326,58628,58326
aIGwPXtsX4s,30407 Jwalamukhi Rural Municipality,30407,à¤œà¥�à¤µà¤¾à¤²à¤¾à¤®à¥�à¤–à¥€ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,20432,20432,21208,21202,24705,21208,24815,20650,24596,20432,24815,20650,24705,24815,21208,21202,20432,21202,24596,21208,24705,24596,20650,24705,24815,24815,24705,21202,20432,24596,20650,21208,24815,20432,20432,24815,21202,24596,21202,20432,20650,21202,20650,24596,24596,21208,24815,24815,21202,24596,20432,20432,21202,24705,21208,24815,20432,24815,24705,20650,20432,20432,20432,21208,21202,20432,24596,24596,21208,21208,24705,20432,21208,20650,24705,24705,20432,20432,24705,20432,20432,21202,20650,24596,21208,24596,20432,20650,24705,20432,21202,24815,20650,20432,20650,20432
piWZ5DyW8lE,30408 Siddhalek Rural Municipality,30408,à¤¸à¤¿à¤¦à¥�à¤§à¤²à¥‡à¤• à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,21582,21582,22248,22217,24717,22248,24821,21438,24609,21582,24821,21438,24717,24821,22248,22217,21582,22217,24609,22248,24717,24609,21438,24717,24821,24821,24717,22217,21582,24609,21438,22248,24821,21582,21582,24821,22217,24609,22217,21582,21438,22217,21438,24609,24609,22248,24821,24821,22217,24609,21582,21582,22217,24717,22248,24821,21582,24821,24717,21438,21582,21582,21582,22248,22217,21582,24609,24609,22248,22248,24717,21582,22248,21438,24717,24717,21582,21582,24717,21582,21582,22217,21438,24609,22248,24609,21582,21438,24717,21582,22217,24821,21438,21582,21438,21582
dTHSxyHHffK,30409 Benighat Rorang Rural Municipality,30409,à¤¬à¥‡à¤¨à¥€à¤˜à¤¾à¤Ÿ à¤°à¥‹à¤°à¤¾à¤™à¥�à¤— à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,34226,34226,34750,34510,33377,34750,33533,33282,33216,34226,33533,33282,33377,33533,34750,34510,34226,34510,33216,34750,33377,33216,33282,33377,33533,33533,33377,34510,34226,33216,33282,34750,33533,34226,34226,33533,34510,33216,34510,34226,33282,34510,33282,33216,33216,34750,33533,33533,34510,33216,34226,34226,34510,33377,34750,33533,34226,33533,33377,33282,34226,34226,34226,34750,34510,34226,33216,33216,34750,34750,33377,34226,34750,33282,33377,33377,34226,34226,33377,34226,34226,34510,33282,33216,34750,33216,34226,33282,33377,34226,34510,33533,33282,34226,33282,34226
hNXxypRAoOb,30410 Gajuri Rural Municipality,30410,à¤—à¤œà¥�à¤°à¥€ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,28802,28802,28937,28781,29772,28937,29952,28302,29596,28802,29952,28302,29772,29952,28937,28781,28802,28781,29596,28937,29772,29596,28302,29772,29952,29952,29772,28781,28802,29596,28302,28937,29952,28802,28802,29952,28781,29596,28781,28802,28302,28781,28302,29596,29596,28937,29952,29952,28781,29596,28802,28802,28781,29772,28937,29952,28802,29952,29772,28302,28802,28802,28802,28937,28781,28802,29596,29596,28937,28937,29772,28802,28937,28302,29772,29772,28802,28802,29772,28802,28802,28781,28302,29596,28937,29596,28802,28302,29772,28802,28781,29952,28302,28802,28302,28802
MhMpfcsUjqo,30411 Galchhi Rural Municipality,30411,à¤—à¤²à¥�à¤›à¥€ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,22972,22972,24284,24217,27787,24284,27932,23210,27635,22972,27932,23210,27787,27932,24284,24217,22972,24217,27635,24284,27787,27635,23210,27787,27932,27932,27787,24217,22972,27635,23210,24284,27932,22972,22972,27932,24217,27635,24217,22972,23210,24217,23210,27635,27635,24284,27932,27932,24217,27635,22972,22972,24217,27787,24284,27932,22972,27932,27787,23210,22972,22972,22972,24284,24217,22972,27635,27635,24284,24284,27787,22972,24284,23210,27787,27787,22972,22972,27787,22972,22972,24217,23210,27635,24284,27635,22972,23210,27787,22972,24217,27932,23210,22972,23210,22972
uLoM1lcKeYr,30412 Thakre Rural Municipality,30412,à¤¥à¤¾à¤•à¥�à¤°à¥‡ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,31895,31895,31653,31567,35131,31653,35323,31472,34932,31895,35323,31472,35131,35323,31653,31567,31895,31567,34932,31653,35131,34932,31472,35131,35323,35323,35131,31567,31895,34932,31472,31653,35323,31895,31895,35323,31567,34932,31567,31895,31472,31567,31472,34932,34932,31653,35323,35323,31567,34932,31895,31895,31567,35131,31653,35323,31895,35323,35131,31472,31895,31895,31895,31653,31567,31895,34932,34932,31653,31653,35131,31895,31653,31472,35131,35131,31895,31895,35131,31895,31895,31567,31472,34932,31653,34932,31895,31472,35131,31895,31567,35323,31472,31895,31472,31895
ZwtuC5ZNurI,30413 Dhunibenshi Municipality,30413,à¤§à¥�à¤¨à¥€à¤¬à¥‡à¤‚à¤¶à¥€ à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,28342,28342,29184,29135,33504,29184,33726,29031,33284,28342,33726,29031,33504,33726,29184,29135,28342,29135,33284,29184,33504,33284,29031,33504,33726,33726,33504,29135,28342,33284,29031,29184,33726,28342,28342,33726,29135,33284,29135,28342,29031,29135,29031,33284,33284,29184,33726,33726,29135,33284,28342,28342,29135,33504,29184,33726,28342,33726,33504,29031,28342,28342,28342,29184,29135,28342,33284,33284,29184,29184,33504,28342,29184,29031,33504,33504,28342,28342,33504,28342,28342,29135,29031,33284,29184,33284,28342,29031,33504,28342,29135,33726,29031,28342,29031,28342
zotSDVN3Zuv,30501 Dupcheshwor Rural Municipality,30501,à¤¦à¥�à¤ªà¥�à¤šà¥‡à¤¶à¥�à¤µà¤° à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,20424,20424,21322,21058,22989,21322,23058,20334,22922,20424,23058,20334,22989,23058,21322,21058,20424,21058,22922,21322,22989,22922,20334,22989,23058,23058,22989,21058,20424,22922,20334,21322,23058,20424,20424,23058,21058,22922,21058,20424,20334,21058,20334,22922,22922,21322,23058,23058,21058,22922,20424,20424,21058,22989,21322,23058,20424,23058,22989,20334,20424,20424,20424,21322,21058,20424,22922,22922,21322,21322,22989,20424,21322,20334,22989,22989,20424,20424,22989,20424,20424,21058,20334,22922,21322,22922,20424,20334,22989,20424,21058,23058,20334,20424,20334,20424
GtSNdnR53Be,30502 Tadi Rural Municipality,30502,à¤¤à¤¾à¤¦à¥€ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,15249,15249,16211,16088,18425,16211,18478,15294,18360,15249,18478,15294,18425,18478,16211,16088,15249,16088,18360,16211,18425,18360,15294,18425,18478,18478,18425,16088,15249,18360,15294,16211,18478,15249,15249,18478,16088,18360,16088,15249,15294,16088,15294,18360,18360,16211,18478,18478,16088,18360,15249,15249,16088,18425,16211,18478,15249,18478,18425,15294,15249,15249,15249,16211,16088,15249,18360,18360,16211,16211,18425,15249,16211,15294,18425,18425,15249,15249,18425,15249,15249,16088,15294,18360,16211,18360,15249,15294,18425,15249,16088,18478,15294,15249,15294,15249
hkYy0OSJtes,30503 Suryagadhi Rural Municipality,30503,à¤¸à¥�à¤°à¥�à¤¯à¤—à¤¢à¥€ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,14273,14273,15082,14947,17313,15082,17365,14354,17264,14273,17365,14354,17313,17365,15082,14947,14273,14947,17264,15082,17313,17264,14354,17313,17365,17365,17313,14947,14273,17264,14354,15082,17365,14273,14273,17365,14947,17264,14947,14273,14354,14947,14354,17264,17264,15082,17365,17365,14947,17264,14273,14273,14947,17313,15082,17365,14273,17365,17313,14354,14273,14273,14273,15082,14947,14273,17264,17264,15082,15082,17313,14273,15082,14354,17313,17313,14273,14273,17313,14273,14273,14947,14354,17264,15082,17264,14273,14354,17313,14273,14947,17365,14354,14273,14354,14273
Kkw5qzJDbaB,30504 Bidur Municipality,30504,à¤¬à¤¿à¤¦à¥�à¤° à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,60094,60094,62294,62241,58191,62294,58419,60192,57983,60094,58419,60192,58191,58419,62294,62241,60094,62241,57983,62294,58191,57983,60192,58191,58419,58419,58191,62241,60094,57983,60192,62294,58419,60094,60094,58419,62241,57983,62241,60094,60192,62241,60192,57983,57983,62294,58419,58419,62241,57983,60094,60094,62241,58191,62294,58419,60094,58419,58191,60192,60094,60094,60094,62294,62241,60094,57983,57983,62294,62294,58191,60094,62294,60192,58191,58191,60094,60094,58191,60094,60094,62241,60192,57983,62294,57983,60094,60192,58191,60094,62241,58419,60192,60094,60192,60094
H8GitWxvHbU,30505 Kispang Rural Municipality,30505,à¤•à¤¿à¤¸à¥�à¤ªà¤¾à¤™à¥�à¤— à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,13920,13920,14265,14141,15217,14265,15261,13797,15174,13920,15261,13797,15217,15261,14265,14141,13920,14141,15174,14265,15217,15174,13797,15217,15261,15261,15217,14141,13920,15174,13797,14265,15261,13920,13920,15261,14141,15174,14141,13920,13797,14141,13797,15174,15174,14265,15261,15261,14141,15174,13920,13920,14141,15217,14265,15261,13920,15261,15217,13797,13920,13920,13920,14265,14141,13920,15174,15174,14265,14265,15217,13920,14265,13797,15217,15217,13920,13920,15217,13920,13920,14141,13797,15174,14265,15174,13920,13797,15217,13920,14141,15261,13797,13920,13797,13920
xqkfomLrYDd,30506 Meghang Rural Municipality,30506,à¤®à¥‡à¤˜à¤¾à¤™à¥�à¤— à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,12318,12318,12548,12434,13893,12548,13929,12254,13854,12318,13929,12254,13893,13929,12548,12434,12318,12434,13854,12548,13893,13854,12254,13893,13929,13929,13893,12434,12318,13854,12254,12548,13929,12318,12318,13929,12434,13854,12434,12318,12254,12434,12254,13854,13854,12548,13929,13929,12434,13854,12318,12318,12434,13893,12548,13929,12318,13929,13893,12254,12318,12318,12318,12548,12434,12318,13854,13854,12548,12548,13893,12318,12548,12254,13893,13893,12318,12318,13893,12318,12318,12434,12254,13854,12548,13854,12318,12254,13893,12318,12434,13929,12254,12318,12254,12318
pQ9sfTqDPzf,30507 Tarakeshwor Rural Municipality,30507,à¤¤à¤¾à¤°à¤•à¥‡à¤¶à¥�à¤µà¤° à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,13631,13631,14299,14184,15971,14299,16003,13835,15933,13631,16003,13835,15971,16003,14299,14184,13631,14184,15933,14299,15971,15933,13835,15971,16003,16003,15971,14184,13631,15933,13835,14299,16003,13631,13631,16003,14184,15933,14184,13631,13835,14184,13835,15933,15933,14299,16003,16003,14184,15933,13631,13631,14184,15971,14299,16003,13631,16003,15971,13835,13631,13631,13631,14299,14184,13631,15933,15933,14299,14299,15971,13631,14299,13835,15971,15971,13631,13631,15971,13631,13631,14184,13835,15933,14299,15933,13631,13835,15971,13631,14184,16003,13835,13631,13835,13631
UojUnRoexxf,30508 Belkotgadhi Municipality,30508,à¤¬à¥‡à¤²à¤•à¥‹à¤Ÿà¤—à¤¢à¥€ à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,33450,33450,35580,35252,42140,35580,42243,34959,42028,33450,42243,34959,42140,42243,35580,35252,33450,35252,42028,35580,42140,42028,34959,42140,42243,42243,42140,35252,33450,42028,34959,35580,42243,33450,33450,42243,35252,42028,35252,33450,34959,35252,34959,42028,42028,35580,42243,42243,35252,42028,33450,33450,35252,42140,35580,42243,33450,42243,42140,34959,33450,33450,33450,35580,35252,33450,42028,42028,35580,35580,42140,33450,35580,34959,42140,42140,33450,33450,42140,33450,33450,35252,34959,42028,35580,42028,33450,34959,42140,33450,35252,42243,34959,33450,34959,33450
xRo2s6fO8RZ,30509 Likhu Rural Municipality,30509,à¤²à¤¿à¤–à¥� à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,17810,17810,17904,17759,17642,17904,17696,17158,17582,17810,17696,17158,17642,17696,17904,17759,17810,17759,17582,17904,17642,17582,17158,17642,17696,17696,17642,17759,17810,17582,17158,17904,17696,17810,17810,17696,17759,17582,17759,17810,17158,17759,17158,17582,17582,17904,17696,17696,17759,17582,17810,17810,17759,17642,17904,17696,17810,17696,17642,17158,17810,17810,17810,17904,17759,17810,17582,17582,17904,17904,17642,17810,17904,17158,17642,17642,17810,17810,17642,17810,17810,17759,17158,17582,17904,17582,17810,17158,17642,17810,17759,17696,17158,17810,17158,17810
Pc2z0fGNT4Y,30510 Panchakanya Rural Municipality,30510,à¤ªà¤¨à¥�à¤šà¤•à¤¨à¥�à¤¯à¤¾ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,13129,13129,13992,13881,16436,13992,16482,13285,16388,13129,16482,13285,16436,16482,13992,13881,13129,13881,16388,13992,16436,16388,13285,16436,16482,16482,16436,13881,13129,16388,13285,13992,16482,13129,13129,16482,13881,16388,13881,13129,13285,13881,13285,16388,16388,13992,16482,16482,13881,16388,13129,13129,13881,16436,13992,16482,13129,16482,16436,13285,13129,13129,13129,13992,13881,13129,16388,16388,13992,13992,16436,13129,13992,13285,16436,16436,13129,13129,16436,13129,13129,13881,13285,16388,13992,16388,13129,13285,16436,13129,13881,16482,13285,13129,13285,13129
