organisationunitid,organisationunitname,province_name,province_code,organisationunitcode,2015-06-27,2016-06-26,2017-06-26,2018-06-26,2019-06-27,2020-06-26,2021-06-26,2022-06-26,2023-06-27,2024-06-26,2025-06-26,2015-09-29,2016-09-28,2017-09-28,2018-09-28,2019-09-29,2020-09-28,2021-09-28,2022-09-28,2023-09-29,2024-09-28,2025-09-28,2015-04-25,2016-04-24,2017-04-25,2018-04-25,2019-04-25,2020-04-24,2021-04-25,2022-04-25,2023-04-25,2024-04-24,2025-04-25,2015-08-29,2016-08-28,2017-08-28,2018-08-28,2019-08-29,2020-08-28,2021-08-28,2022-08-28,2023-08-29,2024-08-28,2025-08-28,2016-03-25,2017-03-25,2018-03-26,2019-03-26,2020-03-25,2021-03-25,2022-03-26,2023-03-26,2024-03-25,2025-03-25,2016-02-24,2017-02-23,2018-02-24,2019-02-24,2020-02-24,2021-02-24,2022-02-24,2023-02-24,2024-02-24,2025-02-24,2015-05-26,2016-05-25,2017-05-26,2018-05-26,2019-05-26,2020-05-25,2021-05-26,2022-05-26,2023-05-26,2024-05-25,2025-05-26,2015-10-29,2016-10-28,2017-10-29,2018-10-29,2019-10-29,2020-10-28,2021-10-29,2022-10-29,2023-10-29,2024-10-28,2025-10-29,2016-01-26,2017-01-25,2018-01-26,2019-01-26,2020-01-26,2021-01-25,2022-01-26,2023-01-26,2024-01-26,2025-01-25,2015-11-28,2016-11-27,2017-11-28,2018-11-28,2019-11-28,2020-11-27,2021-11-28,2022-11-28,2023-11-28,2024-11-27,2025-11-28,2015-12-27,2016-12-27,2017-12-27,2018-12-27,2019-12-28,2020-12-27,2021-12-27,2022-12-27,2023-12-28,2024-12-27,2015-07-28,2016-07-27,2017-07-27,2018-07-28,2019-07-28,2020-07-27,2021-07-27,2022-07-28,2023-07-28,2024-07-27,2025-07-28
PdRpVxkVd9a,511 BANKE,5 Lumbini Province,5,511,0,0,0,0,0,0,0,0,38.0,15.0,0,0,0,0,0,0,0,0,3.0,11.0,6.0,9.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,8.0,22.0,12.0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,1.0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,0,1.0,0,16.0,0,21.0
BITtrV4c0xf,608 RUKUM WEST,6 Karnali Province,6,608,3.0,5.0,4.0,7.0,1.0,9.0,2.0,2.0,4.0,19.0,4.0,1.0,6.0,5.0,7.0,0,5.0,7.0,3.0,3.0,23.0,11.0,0,2.0,5.0,0,0,3.0,0,2.0,0,0,2.0,7.0,9.0,10.0,5.0,11.0,11.0,19.0,6.0,5.0,25.0,7.0,0,3.0,0,0,1.0,1.0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,3.0,0,4.0,0,5.0,3.0,1.0,0,4.0,4.0,0,3.0,1.0,3.0,1.0,0,3.0,0,1.0,3.0,3.0,0,0,2.0,0,0,0,1.0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,1.0,0,0,0,3.0,0,0,0,0,0,0,8.0,6.0,10.0,8.0,12.0,11.0,14.0,19.0,3.0,9.0,64.0
xGQwwqLQ819,502 ROLPA,5 Lumbini Province,5,502,1.0,3.0,2.0,6.0,9.0,7.0,9.0,4.0,5.0,3.0,6.0,3.0,7.0,3.0,2.0,2.0,14.0,6.0,8.0,2.0,20.0,2.0,0,0,0,5.0,1.0,0,1.0,0,0,1.0,2.0,3.0,2.0,10.0,4.0,7.0,15.0,61.0,15.0,9.0,14.0,10.0,0,1.0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,4.0,1.0,2.0,2.0,4.0,2.0,12.0,1.0,0,2.0,3.0,0,1.0,6.0,0,5.0,2.0,2.0,3.0,0,0,0,1.0,3.0,1.0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,1.0,5.0,8.0,7.0,4.0,15.0,15.0,33.0,15.0,7.0,23.0
PUPCyKcUwlS,201 SAPTARI,2 Madhesh Province,2,201,4.0,0,171.0,0,0,0,0,31.0,118.0,19.0,17.0,0,14.0,379.0,0,0,0,16.0,19.0,15.0,18.0,0,15.0,5.0,158.0,0,3.0,0,2.0,7.0,12.0,8.0,13.0,18.0,8.0,11.0,0,0,1.0,12.0,39.0,26.0,18.0,31.0,7.0,6.0,0,0,0,0,3.0,10.0,9.0,12.0,5.0,6.0,0,0,0,0,3.0,31.0,8.0,0,37.0,0,8.0,0,0,0,2.0,19.0,3.0,11.0,16.0,10.0,14.0,3.0,0,0,0,23.0,39.0,81.0,15.0,0,5.0,6.0,0,0,0,0,1.0,30.0,4.0,1.0,0,5.0,0,0,0,0,9.0,30.0,1.0,67.0,0,6.0,6.0,0,0,0,0,2.0,8.0,9.0,5.0,18.0,0,0,6.0,0,0,2.0,20.0,25.0,7.0,99.0
YnUoe8z0OJY,401 GORKHA,4 Gandaki Province,4,401,15.0,22.0,5.0,12.0,11.0,12.0,16.0,18.0,24.0,13.0,5.0,16.0,9.0,5.0,6.0,10.0,3.0,20.0,10.0,11.0,15.0,5.0,5.0,3.0,1.0,0,2.0,3.0,1.0,3.0,5.0,1.0,11.0,13.0,9.0,14.0,13.0,13.0,24.0,9.0,3.0,13.0,6.0,12.0,3.0,1.0,1.0,2.0,2.0,2.0,0,0,0,2.0,0,0,0,0,0,1.0,3.0,0,0,0,4.0,11.0,5.0,12.0,15.0,32.0,12.0,4.0,10.0,5.0,1.0,2.0,2.0,14.0,4.0,4.0,3.0,2.0,0,3.0,5.0,2.0,0,0,0,0,0,0,0,0,0,0,2.0,0,8.0,0,2.0,0,0,1.0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,0,14.0,13.0,5.0,13.0,14.0,14.0,10.0,13.0,24.0,13.0,48.0
N7ioObCpMP3,503 PYUTHAN,5 Lumbini Province,5,503,0,3.0,0,5.0,3.0,2.0,2.0,4.0,1.0,2.0,87.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,10.0,2.0,0,0,0,0,1.0,0,0,0,0,0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,4.0,3.0,2.0,19.0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,3.0,0,3.0,1.0,1.0,1.0,0,1.0,0,1.0,2.0,0,0,0,2.0,0,0,0,1.0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,4.0,3.0,1.0,6.0,5.0,3.0,2.0,5.0,2.0,8.0,35.0
mMGyx6JG7wj,311 SINDHULI,3 Bagmati Province,3,311,18.0,5.0,6.0,47.0,24.0,53.0,35.0,43.0,83.0,60.0,55.0,13.0,2.0,9.0,17.0,16.0,33.0,25.0,27.0,37.0,56.0,36.0,2.0,0,7.0,2.0,6.0,2.0,9.0,11.0,18.0,4.0,33.0,26.0,8.0,11.0,29.0,22.0,52.0,29.0,52.0,74.0,68.0,42.0,1.0,0,1.0,5.0,5.0,2.0,5.0,0,0,6.0,0,0,0,1.0,0,0,0,0,0,1.0,40.0,21.0,4.0,25.0,9.0,26.0,15.0,35.0,36.0,14.0,47.0,18.0,5.0,5.0,1.0,4.0,25.0,8.0,26.0,33.0,3.0,22.0,0,0,0,0,0,3.0,2.0,1.0,3.0,2.0,2.0,0,0,2.0,0,0,1.0,2.0,1.0,3.0,2.0,0,0,1.0,0,1.0,0,0,3.0,2.0,3.0,37.0,8.0,13.0,28.0,12.0,49.0,33.0,45.0,65.0,89.0,250.0
l8tZrJ55yzg,408 NAWALPARASI EAST,4 Gandaki Province,4,408,26.0,35.0,4.0,1.0,29.0,9.0,83.0,110.0,101.0,122.0,135.0,12.0,20.0,4.0,19.0,0,47.0,72.0,51.0,83.0,42.0,72.0,12.0,6.0,1.0,0,6.0,24.0,22.0,53.0,20.0,29.0,42.0,20.0,11.0,4.0,3.0,29.0,66.0,64.0,73.0,110.0,99.0,98.0,3.0,3.0,0,6.0,14.0,19.0,17.0,16.0,35.0,32.0,0,1.0,0,1.0,2.0,12.0,3.0,11.0,5.0,9.0,27.0,25.0,1.0,0,1.0,50.0,58.0,90.0,41.0,91.0,68.0,13.0,17.0,1.0,0,0,43.0,25.0,40.0,38.0,48.0,33.0,0,0,0,1.0,0,0,0,4.0,2.0,12.0,2.0,2.0,0,2.0,3.0,10.0,8.0,19.0,14.0,25.0,7.0,5.0,5.0,0,0,0,3.0,2.0,1.0,4.0,8.0,33.0,31.0,5.0,3.0,30.0,49.0,97.0,96.0,132.0,115.0,418.0
IOHIfpVUJGp,301 DOLAKHA,3 Bagmati Province,3,301,11.0,9.0,12.0,6.0,5.0,10.0,4.0,12.0,13.0,8.0,5.0,7.0,5.0,8.0,5.0,1.0,4.0,0,3.0,7.0,7.0,9.0,0,0,2.0,0,3.0,2.0,0,0,3.0,5.0,1.0,3.0,10.0,5.0,7.0,6.0,0,3.0,12.0,2.0,3.0,4.0,0,1.0,0,4.0,3.0,0,1.0,3.0,0,0,0,0,0,0,2.0,0,0,2.0,0,1.0,3.0,2.0,9.0,6.0,4.0,9.0,3.0,2.0,2.0,2.0,2.0,5.0,3.0,3.0,2.0,0,0,1.0,3.0,2.0,2.0,0,0,0,0,0,0,0,0,3.0,0,0,4.0,0,0,0,0,0,1.0,6.0,0,9.0,2.0,0,0,0,0,0,0,0,7.0,0,0,7.0,10.0,15.0,4.0,7.0,7.0,3.0,2.0,7.0,5.0,27.0
ZIo35uAAfZo,406 LAMJUNG,4 Gandaki Province,4,406,15.0,50.0,15.0,14.0,15.0,9.0,3.0,12.0,2.0,12.0,19.0,12.0,5.0,7.0,11.0,8.0,5.0,11.0,6.0,29.0,2.0,21.0,1.0,2.0,6.0,5.0,1.0,7.0,4.0,4.0,11.0,1.0,1.0,16.0,20.0,20.0,22.0,8.0,6.0,8.0,7.0,9.0,7.0,10.0,6.0,0,0,0,0,0,0,1.0,0,1.0,1.0,0,0,0,0,1.0,0,0,0,0,5.0,33.0,13.0,14.0,7.0,6.0,4.0,9.0,5.0,2.0,5.0,6.0,2.0,5.0,3.0,3.0,0,9.0,1.0,3.0,8.0,1.0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0,1.0,1.0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,16.0,18.0,8.0,16.0,12.0,8.0,8.0,5.0,12.0,10.0,52.0
VoOb1wMwKp0,110 ILAM,1 Koshi Province,1,110,0,0,0,1.0,2.0,2.0,0,1.0,1.0,2.0,6.0,0,2.0,0,1.0,0,0,0,0,0,4.0,0,0,0,0,0,1.0,0,0,0,0,0,10.0,0,1.0,1.0,0,0,0,0,0,1.0,3.0,13.0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,6.0,6.0,0,1.0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,13.0,0,0,0,0,0,0,0,8.0,0,11.0,0,1.0,0,0,0,1.0,0,0,0,0,62.0
