organisationunitid,organisationunitname,province_name,province_code,organisationunitcode,2015-06-27,2016-06-26,2017-06-26,2018-06-26,2019-06-27,2020-06-26,2021-06-26,2022-06-26,2023-06-27,2024-06-26,2025-06-26,2015-09-29,2016-09-28,2017-09-28,2018-09-28,2019-09-29,2020-09-28,2021-09-28,2022-09-28,2023-09-29,2024-09-28,2025-09-28,2015-04-25,2016-04-24,2017-04-25,2018-04-25,2019-04-25,2020-04-24,2021-04-25,2022-04-25,2023-04-25,2024-04-24,2025-04-25,2015-08-29,2016-08-28,2017-08-28,2018-08-28,2019-08-29,2020-08-28,2021-08-28,2022-08-28,2023-08-29,2024-08-28,2025-08-28,2016-03-25,2017-03-25,2018-03-26,2019-03-26,2020-03-25,2021-03-25,2022-03-26,2023-03-26,2024-03-25,2025-03-25,2016-02-24,2017-02-23,2018-02-24,2019-02-24,2020-02-24,2021-02-24,2022-02-24,2023-02-24,2024-02-24,2025-02-24,2015-05-26,2016-05-25,2017-05-26,2018-05-26,2019-05-26,2020-05-25,2021-05-26,2022-05-26,2023-05-26,2024-05-25,2025-05-26,2015-10-29,2016-10-28,2017-10-29,2018-10-29,2019-10-29,2020-10-28,2021-10-29,2022-10-29,2023-10-29,2024-10-28,2025-10-29,2016-01-26,2017-01-25,2018-01-26,2019-01-26,2020-01-26,2021-01-25,2022-01-26,2023-01-26,2024-01-26,2025-01-25,2015-11-28,2016-11-27,2017-11-28,2018-11-28,2019-11-28,2020-11-27,2021-11-28,2022-11-28,2023-11-28,2024-11-27,2025-11-28,2015-12-27,2016-12-27,2017-12-27,2018-12-27,2019-12-28,2020-12-27,2021-12-27,2022-12-27,2023-12-28,2024-12-27,2015-07-28,2016-07-27,2017-07-27,2018-07-28,2019-07-28,2020-07-27,2021-07-27,2022-07-28,2023-07-28,2024-07-27,2025-07-28
A3TeVhjjS2u,411 BAGLUNG,4 Gandaki Province,4,411,4.0,17.0,12.0,28.0,8.0,29.0,15.0,16.0,17.0,18.0,9.0,6.0,14.0,6.0,11.0,4.0,10.0,10.0,5.0,16.0,9.0,7.0,1.0,2.0,1.0,2.0,4.0,5.0,5.0,0,0,0,2.0,14.0,14.0,8.0,16.0,12.0,23.0,17.0,19.0,24.0,17.0,6.0,2.0,1.0,0,0,0,18.0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,1.0,2.0,10.0,13.0,7.0,7.0,16.0,15.0,7.0,3.0,4.0,4.0,1.0,5.0,3.0,7.0,9.0,4.0,2.0,11.0,1.0,4.0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,2.0,1.0,0,0,0,1.0,0,1.0,1.0,0,0,2.0,1.0,0,0,0,3.0,0,0,0,14.0,24.0,22.0,10.0,9.0,24.0,18.0,25.0,7.0,15.0,34.0
SJQ2e9HUvaG,605 KALIKOT,6 Karnali Province,6,605,0,2.0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,1.0,0,2.0,1.0,1.0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,1.0,0,1.0,1.0,2.0,0,1.0,4.0,1.0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0
D51gR5DC5vt,604 JUMLA,6 Karnali Province,6,604,0,0,1.0,0,1.0,1.0,0,5.0,0,3.0,0,0,1.0,0,0,0,1.0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,0,0,6.0,0,0,0,0,0,5.0,0,0,3.0,3.0,0,0,0,0,0,0.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,2.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,0,0,7.0,5.0,0
eW2b8SUYRWt,107 DHANKUTA,1 Koshi Province,1,107,5.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,0,9.0,4.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,0,1.0,1.0,0,1.0,1.0,2.0,0,0,2.0,0,0,1.0,5.0,6.0,3.0,3.0,5.0,7.0,4.0,0,2.0,3.0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,3.0,0,4.0,0,3.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,6.0,1.0,0,6.0,5.0,1.0,0,3.0,4.0
Wep3D4POB3H,103 SOLUKHUMBU,1 Koshi Province,1,103,1.0,1.0,8.0,3.0,10.0,12.0,4.0,13.0,6.0,9.0,7.0,1.0,2.0,0,3.0,7.0,7.0,6.0,1.0,7.0,16.0,3.0,0,1.0,2.0,0,2.0,0,1.0,3.0,1.0,1.0,0,5.0,0,4.0,7.0,10.0,8.0,2.0,3.0,12.0,11.0,6.0,1.0,0,0,0,1.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,13.0,3.0,1.0,4.0,2.0,2.0,8.0,1.0,3.0,0,1.0,2.0,1.0,3.0,3.0,0,2.0,1.0,0,0,0,0,1.0,4.0,0,0,0,0,0,0,0,1.0,2.0,0,0,0,0,2.0,5.0,0,0,0,0,0,0,0,1.0,0,1.0,7.0,2.0,2.0,4.0,4.0,9.0,1.0,7.0,8.0,2.0,57.0
uyGkoQ4F9rT,705 DADELDHURA,7 Sudurpashchim Province,7,705,1.0,4.0,6.0,8.0,0,1.0,0,2.0,1.0,7.0,8.0,5.0,0,2.0,9.0,1.0,0,0,0,0,5.0,2.0,4.0,0,1.0,1.0,0,0,0,0,0,1.0,1.0,10.0,7.0,10.0,15.0,1.0,0,0,2.0,3.0,8.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,7.0,7.0,2.0,5.0,2.0,4.0,0,0,0,3.0,0,1.0,0,0,2.0,0,0,1.0,2.0,0,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,12.0,0,0,0,0,0,0,0,0,0,0,6.0,8.0,8.0,6.0,1.0,2.0,1.0,2.0,10.0,8.0,19.0
U8Rk7sYzFmK,302 SINDHUPALCHOK,3 Bagmati Province,3,302,16.0,6.0,3.0,9.0,14.0,10.0,12.0,5.0,9.0,30.0,12.0,2.0,1.0,2.0,1.0,5.0,9.0,11.0,27.0,15.0,43.0,10.0,0,2.0,1.0,1.0,2.0,3.0,1.0,0,0,3.0,3.0,16.0,5.0,4.0,3.0,11.0,9.0,5.0,8.0,12.0,8.0,23.0,0,1.0,1.0,0,0,1.0,0,18.0,1.0,1.0,3.0,2.0,0,8.0,0,0,0,0,0,0,9.0,5.0,1.0,2.0,2.0,5.0,3.0,2.0,2.0,4.0,22.0,2.0,1.0,2.0,0,2.0,2.0,1.0,4.0,2.0,6.0,4.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,1.0,0,3.0,2.0,1.0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,13.0,7.0,13.0,10.0,15.0,7.0,10.0,16.0,9.0,12.0,63.0
ZVmULoI6vcV,309 KAVREPALANCHOK,3 Bagmati Province,3,309,13.0,7.0,4.0,3.0,8.0,8.0,3.0,7.0,13.0,9.0,27.0,4.0,4.0,4.0,5.0,2.0,5.0,12.0,2.0,13.0,11.0,8.0,2.0,3.0,0,1.0,3.0,0,1.0,3.0,1.0,1.0,25.0,18.0,6.0,7.0,8.0,6.0,14.0,9.0,6.0,9.0,7.0,13.0,0,1.0,0,1.0,1.0,0,1.0,4.0,1.0,1.0,0,0,2.0,0,0,0,0,0,0,0,3.0,1.0,0,3.0,1.0,0,5.0,4.0,2.0,4.0,4.0,0,5.0,0,1.0,7.0,1.0,3.0,3.0,2.0,9.0,3.0,0,0,0,5.0,0,0,0,0,0,1.0,0,0,0,0,3.0,0,1.0,0,0,2.0,1.0,0,0,0,0,0,0,5.0,21.0,0,1.0,13.0,12.0,4.0,6.0,21.0,15.0,11.0,8.0,4.0,10.0,39.0
Yacp1fLlWut,402 MANANG,4 Gandaki Province,4,402,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0
ewPc6zXy53n,603 HUMLA,6 Karnali Province,6,603,0,0,0,0,3.0,0,1.0,0,1.0,0,0,0,0,0,1.0,0,12.0,3.0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,2.0,0,0,0,0,0,0,0,3.0,0,0,1.0,3.0,2.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3.0,1.0,2.0,3.0,6.0
HL5fSUsp2vJ,609 SALYAN,6 Karnali Province,6,609,0,1.0,0,0,0,0,6.0,7.0,3.0,1.0,2.0,0,0,0,0,0,0,2.0,6.0,2.0,5.0,4.0,0,0,0,0,0,0,0,3.0,0,0,0,2.0,0,2.0,2.0,1.0,1.0,5.0,19.0,2.0,3.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,1.0,0,3.0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,2.0,1.0,1.0,5.0,2.0,5.0,6.0,22.0
Iqy9A4jXY9l,409 SYANGJA,4 Gandaki Province,4,409,3.0,31.0,25.0,23.0,24.0,12.0,20.0,20.0,25.0,23.0,32.0,12.0,39.0,41.0,13.0,30.0,24.0,30.0,27.0,27.0,13.0,15.0,3.0,0,2.0,15.0,4.0,3.0,4.0,5.0,19.0,8.0,8.0,10.0,46.0,44.0,25.0,40.0,41.0,17.0,58.0,27.0,29.0,33.0,1.0,1.0,9.0,1.0,0,7.0,6.0,0,1.0,4.0,0,0,0,0,0,1.0,2.0,0,0,0,10.0,10.0,21.0,36.0,17.0,13.0,14.0,10.0,8.0,6.0,34.0,0,14.0,9.0,6.0,22.0,7.0,6.0,9.0,4.0,9.0,8.0,0,0,5.0,0,0,0,0,13.0,0,0,2.0,1.0,1.0,1.0,7.0,2.0,5.0,0,0,3.0,3.0,0,0,5.0,0,0,0,0,0,0,0,30.0,60.0,33.0,30.0,31.0,13.0,18.0,55.0,31.0,27.0,105.0
tSE6ctwvZmP,303 RASUWA,3 Bagmati Province,3,303,2.0,6.0,0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,7.0,0,0,0,1.0,1.0,4.0,0,1.0,2.0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,4.0,1.0,0,2.0,2.0,0,1.0,3.0,4.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,7.0,0,0,0,0,1.0,2.0,0,1.0,0,4.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,3.0,0,0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,7.0
RZxElQxEbZN,601 DOLPA,6 Karnali Province,6,601,0,0,0,0,2.0,0,0,0,1.0,1.0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,1.0,0,0,0,0,1.0,0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,2.0,0,0,0,0,0,1.0
HkwA8YQgJK6,706 DOTI,7 Sudurpashchim Province,7,706,3.0,2.0,4.0,3.0,1.0,9.0,5.0,5.0,2.0,6.0,0,1.0,2.0,1.0,3.0,0,8.0,2.0,2.0,0,0,0,0,2.0,1.0,0,0,3.0,0,0,2.0,0,2.0,1.0,3.0,0,1.0,2.0,2.0,3.0,0,2.0,2.0,2.0,1.0,1.0,0,1.0,2.0,0,0,9.0,0,4.0,1.0,0,0,0,0,0,0,0,0,0,2.0,1.0,2.0,2.0,0,4.0,0,1.0,0,3.0,0,0,1.0,2.0,2.0,0,2.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,0,0,0,0,6.0,0,0,0,0,1.0,0,0,0,0,0,0,0,2.0,4.0,4.0,9.0,2.0,3.0,5.0,0,0,6.0,2.0
j4HVtKmVtwQ,207 BARA,2 Madhesh Province,2,207,4.0,35.0,20.0,15.0,0,31.0,1.0,57.0,164.0,36.0,21.0,14.0,17.0,10.0,13.0,0,19.0,41.0,5.0,35.0,43.0,25.0,0,1.0,3.0,0,9.0,19.0,0,4.0,64.0,11.0,0,21.0,34.0,0,19.0,20.0,26.0,0,20.0,29.0,0,48.0,1.0,1.0,1.0,4.0,5.0,7.0,22.0,45.0,10.0,5.0,0,0,3.0,1.0,6.0,3.0,8.0,21.0,1.0,4.0,0,0,14.0,19.0,8.0,123.0,0,23.0,135.0,13.0,8.0,10.0,20.0,7.0,9.0,12.0,13.0,9.0,42.0,16.0,0,19.0,1.0,0,2.0,0,2.0,2.0,11.0,8.0,3.0,0,0,4.0,4.0,0,0,0,7.0,12.0,4.0,8.0,23.0,4.0,1.0,4.0,0,4.0,4.0,3.0,8.0,0,4.0,15.0,20.0,22.0,26.0,7.0,29.0,31.0,7.0,0,49.0,135.0
yP2GELa6inf,509 KAPILBASTU,5 Lumbini Province,5,509,9.0,3.0,29.0,17.0,0,2.0,0,0,1.0,2.0,0,3.0,35.0,25.0,0,1.0,0,0,0,0,0,1.0,0,1.0,8.0,4.0,0,3.0,2.0,0,0,0,0,5.0,52.0,31.0,0,1.0,1.0,0,0,0,0,0,0,6.0,2.0,0,5.0,0,0,0,0,1.0,0,7.0,4.0,0,0,3.0,0,14.0,0,0,2.0,0,11.0,11.0,1.0,3.0,0,0,0,0,0,0,21.0,12.0,0,0,0,0,0,0,0,0,0,3.0,3.0,0,0,0,0,5.0,0,0,0,5.0,4.0,1.0,0,0,0,0,0,0,0,0,3.0,2.0,0,0,0,0,0,0,0,2.0,56.0,16.0,10.0,0,0,0,0,0,0,1.0
j0gE31YxwHQ,313 CHITWAN,3 Bagmati Province,3,313,30.0,255.0,12.0,14.0,20.0,5.0,19.0,11.0,13.0,9.0,2.0,25.0,1.0,6.0,7.0,7.0,6.0,9.0,12.0,12.0,7.0,2.0,5.0,0,9.0,1.0,6.0,1.0,2.0,8.0,4.0,3.0,2.0,13.0,18.0,14.0,12.0,9.0,6.0,2.0,5.0,11.0,1.0,4.0,0,6.0,0,0,5.0,2.0,2.0,0,3.0,1.0,4.0,0,0,0,6.0,2.0,0,5.0,0,1.0,34.0,15.0,10.0,9.0,30.0,16.0,10.0,6.0,12.0,13.0,18.0,10.0,1.0,6.0,1.0,8.0,3.0,2.0,0,5.0,6.0,0,10.0,0,1.0,0,1.0,0,0,2.0,0,1.0,0,0,8.0,0,3.0,2.0,3.0,1.0,4.0,4.0,0,8.0,1.0,0,0,1.0,2.0,0,12.0,1.0,0,18.0,12.0,12.0,11.0,27.0,5.0,6.0,39.0,7.0,9.0,28.0
bjS2Lp3tLxv,510 DANG,5 Lumbini Province,5,510,9.0,9.0,5.0,8.0,5.0,5.0,90.0,112.0,79.0,94.0,129.0,6.0,5.0,7.0,0,0,22.0,38.0,25.0,46.0,64.0,75.0,0,1.0,1.0,1.0,0,0,1.0,28.0,9.0,11.0,29.0,11.0,9.0,15.0,2.0,1.0,21.0,52.0,49.0,60.0,52.0,44.0,1.0,1.0,0,0,0,1.0,14.0,6.0,3.0,6.0,3.0,2.0,0,0,0,0,2.0,6.0,3.0,4.0,1.0,5.0,3.0,0,3.0,1.0,37.0,39.0,25.0,27.0,40.0,4.0,1.0,2.0,0,6.0,8.0,45.0,12.0,17.0,49.0,48.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,1.0,3.0,1.0,9.0,2.0,4.0,4.0,19.0,0,0,0,0,2.0,0,8.0,0,0,1.0,0,4.0,12.0,3.0,11.0,44.0,64.0,81.0,107.0,92.0,302.0
elOK8Y2b3Qn,306 KATHMANDU,3 Bagmati Province,3,306,15.0,5.0,1.0,6.0,1.0,1.0,3.0,7.0,4.0,3.0,3.0,4.0,3.0,0,0,3.0,0,3.0,0,0,0,2.0,0,1.0,2.0,0,0,1.0,0,3.0,26.0,0,0,8.0,4.0,2.0,1.0,1.0,2.0,7.0,0,2.0,2.0,3.0,1.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,3.0,4.0,2.0,1.0,1.0,7.0,2.0,0,0,8.0,0,0,0,3.0,0,0,0,0,0,1.0,1.0,0,4.0,0,0,0,0,0,3.0,0,0,0,0,0,2.0,0,0,2.0,0,0,0,39.0,1.0,0,4.0,1.0,0,1.0,1.0,169.0,4.0,0,0,5.0,2.0,0,0,1.0,2.0,11.0,2.0,2.0,2.0,6.0
A3R7UT64jHf,206 RAUTAHAT,2 Madhesh Province,2,206,83.0,107.0,19.0,56.0,33.0,30.0,15.0,4.0,0,0,4.0,63.0,75.0,32.0,40.0,0,7.0,21.0,0,70.0,0,1.0,146.0,38.0,88.0,77.0,20.0,0,0,0,0,0,0,64.0,109.0,43.0,25.0,160.0,21.0,14.0,0,97.0,0,3.0,33.0,0,22.0,30.0,19.0,9.0,1.0,0,0,0,0,112.0,0,32.0,0,4.0,0,1.0,0,0,156.0,57.0,29.0,73.0,1.0,46.0,12.0,0,0,0,0,45.0,115.0,12.0,1.0,0,4.0,18.0,0,5.0,0,16.0,0,0,2.0,0,0,4.0,0,0,0,0,8.0,13.0,13.0,0,1.0,0,0,0,3.0,0,0,5.0,6.0,2.0,0,0,0,11.0,0,7.0,0,0,178.0,42.0,35.0,43.0,22.0,11.0,1.0,100.0,0,24.0
S8J6p6tGXNb,108 TERHATHUM,1 Koshi Province,1,108,2.0,2.0,2.0,1.0,1.0,1.0,0,1.0,1.0,6.0,1.0,0,2.0,1.0,3.0,2.0,1.0,1.0,0,4.0,0,0,4.0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,6.0,1.0,5.0,1.0,3.0,1.0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,2.0,1.0,1.0,1.0,0,1.0,0,2.0,0,1.0,0,1.0,0,2.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,16.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0,4.0
cMWLZfK0O4z,505 ARGHAKHANCHI,5 Lumbini Province,5,505,6.0,2.0,4.0,2.0,0,0,13.0,0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0,0,4.0,1.0,0,2.0,0,0,0,1.0,2.0,0,1.0,0,0,0,1.0,0,5.0,5.0,3.0,8.0,2.0,0,6.0,4.0,2.0,1.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,6.0,7.0,1.0,0,15.0,4.0,1.0,0,2.0,0,1.0,5.0,2.0,1.0,0,6.0,0,0,1.0,1.0,0,2.0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,2.0,12.0,9.0,8.0,2.0,1.0,1.0,3.0,0,3.0,5.0
ZULmwVN4Zfv,109 PANCHTHAR,1 Koshi Province,1,109,5.0,3.0,4.0,6.0,1.0,3.0,3.0,0,0,3.0,1.0,1.0,4.0,3.0,3.0,4.0,3.0,2.0,1.0,0,0,0,2.0,0,1.0,0,1.0,1.0,1.0,0,0,1.0,0,6.0,1.0,5.0,5.0,8.0,5.0,3.0,2.0,1.0,2.0,2.0,1.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3.0,0,0,1.0,1.0,0,1.0,1.0,0,0,1.0,2.0,2.0,1.0,1.0,0,1.0,0,0,2.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,2.0,1.0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,3.0,0,0,1.0,5.0,6.0,4.0,7.0,1.0,4.0,1.0,1.0,4.0,6.0
JH8RPnwv8kB,308 LALITPUR,3 Bagmati Province,3,308,4.0,4.0,0,3.0,0,3.0,0,0,0,4.0,4.0,4.0,0,0,1.0,1.0,1.0,0,0,2.0,2.0,0,2.0,1.0,0,1.0,1.0,1.0,0,0,0,1.0,0,2.0,3.0,0,2.0,1.0,0,0,1.0,2.0,0,3.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,0,4.0,2.0,0,1.0,1.0,0,0,1.0,2.0,2.0,2.0,0,0,0,0,0,0,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,7.0,2.0,4.0,1.0,1.0,2.0,0,0,1.0,1.0,6.0
F5xI4hl77mT,508 RUPANDEHI,5 Lumbini Province,5,508,0,2.0,1.0,0,2.0,19.0,118.0,407.0,364.0,0,197.0,2.0,0,7.0,0,66.0,199.0,220.0,167.0,0,112.0,62.0,0,1.0,0,0,1.0,32.0,29.0,141.0,27.0,0,52.0,0,2.0,7.0,1.0,110.0,268.0,293.0,268.0,273.0,118.0,153.0,1.0,0,0,0,22.0,38.0,133.0,46.0,0,29.0,0,0,0,0,11.0,18.0,26.0,35.0,0,12.0,8.0,2.0,0,0,0,0,110.0,223.0,183.0,0,120.0,0,0,0,0,46.0,124.0,139.0,37.0,3.0,10.0,0,3.0,0,0,0,3.0,3.0,15.0,6.0,0,0,2.0,0,0,0,24.0,36.0,46.0,30.0,0,11.0,5.0,0,0,0,0,2.0,10.0,13.0,5.0,0,7.0,2.0,0,0,0,0,228.0,224.0,301.0,2.0,173.0,482.0
iqLM1XBMxyu,405 KASKI,4 Gandaki Province,4,405,30.0,46.0,44.0,52.0,70.0,66.0,36.0,27.0,7.0,3.0,33.0,40.0,63.0,54.0,68.0,45.0,53.0,62.0,26.0,4.0,8.0,13.0,6.0,7.0,10.0,6.0,16.0,8.0,2.0,10.0,0,3.0,6.0,43.0,67.0,53.0,94.0,56.0,83.0,60.0,15.0,3.0,3.0,11.0,0,4.0,0,5.0,2.0,5.0,2.0,0,0,16.0,0,1.0,3.0,3.0,3.0,9.0,0,0,14.0,0,7.0,24.0,23.0,2.0,37.0,53.0,21.0,22.0,0,0,23.0,14.0,23.0,0,15.0,15.0,44.0,4.0,6.0,0,0,11.0,0,1.0,0,4.0,3.0,12.0,1.0,2.0,0,0,2.0,23.0,6.0,0,1.0,9.0,5.0,17.0,0,11.0,0,1.0,0,1.0,4.0,1.0,11.0,0,0,0,27.0,22.0,42.0,9.0,84.0,127.0,38.0,71.0,7.0,4.0,9.0,73.0
gannbFbizVo,310 RAMECHHAP,3 Bagmati Province,3,310,8.0,2.0,1.0,3.0,1.0,11.0,11.0,5.0,4.0,9.0,3.0,8.0,1.0,4.0,7.0,1.0,2.0,3.0,7.0,3.0,4.0,1.0,1.0,0,0,0,1.0,2.0,1.0,1.0,0,0,0,2.0,7.0,4.0,11.0,1.0,9.0,8.0,2.0,6.0,7.0,6.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,6.0,2.0,11.0,4.0,2.0,6.0,3.0,1.0,0,1.0,2.0,0,1.0,2.0,0,0,3.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,1.0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1.0,3.0,2.0,5.0,10.0,5.0,0,2.0,3.0,27.0
NSLL7YIXBJH,704 BAITADI,7 Sudurpashchim Province,7,704,0,0,0,1.0,0,1.0,0,1.0,1.0,0,2.0,0,0,0,0,0,1.0,3.0,0,2.0,0,8.0,0,0,0,0,1.0,0,0,0,0,0,2.0,4.0,0,1.0,2.0,1.0,1.0,4.0,0,6.0,3.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,2.0,2.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,2.0,0,0,3.0,0,2.0,2.0,2.0,1.0,2.0,32.0
