organisationunitid,organisationunitname,organisationunitcode,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00,district_code
hnu4RFrMbXo,10403 Molung Rural Municipality,10403,16734.0,16767.0,16801.0,16954.0,17032.0,15812.0,15812.0,15812.0,104
n0ICenUQAGj,10404 Khiji Demba Rural Municipality,10404,15697.0,15725.0,15744.0,15878.0,15953.0,15019.0,15019.0,15019.0,104
tmwWqpt7zGE,10405 Likhu Rural Municipality,10405,14097.0,14103.0,14108.0,11940.0,11992.0,11598.0,11598.0,11598.0,104
xh6T1nEbcgU,10406 Champadevi Rural Municipality,10406,18841.0,18862.0,18877.0,16538.0,16611.0,15699.0,15699.0,15699.0,104
DrH1J7KIk4g,10407 Sunkoshi Rural Municipality,10407,18754.0,18772.0,18787.0,18035.0,18105.0,17164.0,17164.0,17164.0,104
jMeH7np95YE,10408 Manebhanjyang Rural Municipality,10408,21583.0,21617.0,21648.0,19896.0,19980.0,19002.0,19002.0,19002.0,104
WuW2eIQKEEM,10501 Kepilasgadhi Rural Municipality,10501,13134.0,12835.0,12537.0,13337.0,13329.0,12064.0,12064.0,12064.0,105
wFTDjO00OIR,10502 Aiselukharka Rural Municipality,10502,13918.0,13597.0,13283.0,13576.0,13550.0,12108.0,12108.0,12108.0,105
BiWa3iUtHtP,10503 Rawabesi Rural Municipality,10503,11508.0,11235.0,10976.0,11214.0,11196.0,10231.0,10231.0,10231.0,105
dbU0Qrz64BG,10504 Halesi Tuwachung Municipality,10504,25476.0,24882.0,24302.0,27266.0,27255.0,26913.0,26913.0,26913.0,105
Fen9qMN7huE,10505 Diktel Rupakot Majhuwagadhi Municipality,10505,42424.0,41520.0,40620.0,43283.0,43218.0,43062.0,43062.0,43062.0,105
PAcfAwNtnry,10506 Sakela Rural Municipality,10506,10050.0,9817.0,9594.0,9602.0,9582.0,8933.0,8933.0,8933.0,105
l6h4020yfj1,10507 Diprung Chuichumma Rural Municipality,10507,17515.0,17121.0,16729.0,16544.0,16532.0,15120.0,15120.0,15120.0,105
UXz6AH8q6LY,10508 Khotehang Rural Municipality,10508,19456.0,19012.0,18581.0,16946.0,16921.0,15351.0,15351.0,15351.0,105
XJcmAfNk3tE,10509 Jante Dhunga Rural Municipality,10509,13457.0,13149.0,12850.0,12064.0,12065.0,11138.0,11138.0,11138.0,105
